"date","review"
"June 3, 2016","My go to when I drive. I love the music selection. I was also happily surprised when I got a message last week that the new Bob Dylan was out. I promptly downloaded it. I truly dig the stations and suggested music."
"November 22, 2016","YOu can think of a lot of songs and then they are there for almost free (Prime cost). How cool is that, no CD's no tapes , no records just right there. Not all music shows up , but the majority of the time i find what i am looking for. The search could be more easier but perhaps it is my searching technique ;-)"
"November 15, 2016","Works well on my smart phone. Not comparing it to itunes or any other provider As a stand alone product, I use it with Audio CDs purchased and I can download with prime in 5 seconds. I use it daily no measure of sound quality, etc. Simply works for me. Use phone, open Amazon player, hear my music. Grateful!"
"July 19, 2017","love it"
"June 3, 2017","It's so nice!"
"March 18, 2017","Great Product"
"August 23, 2017","Quality sound without commercials and good choices. I would like to see more stations posted without having to search."
"April 21, 2017","love it"
"August 12, 2017","Great choices, works perfect on my phone"
"August 20, 2015","I can't give negative stars, or else I would. There is no reason this product needs Android beyond 2.1. The best use for a old phone or device is to put it in a corner as a music player. But this requires that you be on the most current version of Android. Useless app.  It needs far too many permissions and is a data hog. I believe that is why they want the more current Android, in order to assure they are on my current device."
"September 14, 2017","Okay just checked my drive which i just reloaded 3 days ago. On a 12gb drive per month allowance that i end up with time left, I now have 10gb left after 2&1/2 days. When you have to open apps to run other apps"
"July 9, 2015","It is lacking many features for sorting or searching for duplicates, etc. But I'm loving having such a huge library included with my Prime account. I look forward to continuing to develop the apps to have more features I'd like to see. I've tried several other streaming services and have not been satisfied at all from constantly crashing my devices to not syncing between computer and devices. Been using Prime Music for weeks now with no issues at all."
"March 15, 2017","AWESOME"
"October 25, 2017","works"
"July 21, 2017","Great"
"June 10, 2017","great"
"March 4, 2017","great"
"December 16, 2013","I've used this app for nearly 2 years and it's been great. I love my Amazon cloud drive and have most of my music uploaded to the cloud drive. Unfortunately, the recent update to this app is broken. If you are listening to music and then go use another app (chrome, facebook, a game, etc.) then the music will randomly stop playing at some point. So, this app is great if you are only going to listen to music and not use your device for any other apps. I'm back to using the system music player for now. My device is a Samsung Galaxy S3.  **UPDATE**  I tried to create a new review, which doesn't work. Still only 1 star, though, since I can't give the app negative stars.  The new Amazon MP3 app is essentially unusable. You've never been able to set the download location to download music to the SD card but at least with the old Amazon MP3 app you could copy downloaded music to the SDCard. This is such a fundamentally flawed design choice that it really makes me question amazon's focus on what customer's want. However, now it's even worse with this new piece of crap app which 1) keeps defaulting to using Prime Music when you open the app (which sucks - I just want to play my music) but, 2) even worse, when you download music and copy it to the SDCard it won't see your music even if it's in the same folder. I've also found, when I did briefly use this new version of the app, that it crashed pretty regularly.  I'm using a Samsung Galaxy S4.  Oh well. At least the Google Music app continues to just work. Can I give that app a 5-star review on Amazon? ;)"
"June 4, 2017","ok app"
"September 1, 2017","Love it!!!! Move over pandora"
"March 10, 2016","Being old...I saw the birth of the 8 Track player, the cassette, then the CD, DVD, and now ""the cloud"". What will they think of next? Think I forgot about the MP3...not sure where it fits. Personally I don't have one, least not that I'm aware of. I should probably ""rent"" a little kid between say 8 and 10. They know more about this stuff than 20 adults OVER 65!"
"August 11, 2017","Works great."
"January 20, 2016","On a small device it is hard to navigate. It also does not remember what you did the last time you were on, so you have to repeat everything. Sometimes slow to load and buffering issues, but that may also be the fault of my provider. Overall it's good."
"October 19, 2016","Prime member ... For now. But renewal is due soon. Can not download music app. Can not listen to my Amazon music. Don't care about audible or free books. Amazon is slipping, no star deserved."
"March 19, 2017","good"
"May 3, 2017","love"
"September 27, 2015","AZ keeps adding more reasons to use Prime. This is one of them. Lots of music to hear for free on a variety of devices. Come for the shipping, stay for the music and movies!"
"October 30, 2017","I like"
"June 23, 2014","Much like the prime video selection the prime music selection is small and includes mostly older music. While it generally works OK for the music it does have I was unable to find any way to just search the music that is available through prime music and not for purchase on the amazon store so almost every time I went to listen to a song it was going to charge me.  If you were able to limit the search and list of songs to only those available for free I would have given it a higher score but at the moment it was a lot more frustration than listening pleasure."
"June 11, 2017","Nice"
"April 16, 2017","Good"
"June 1, 2017","Love"
"March 13, 2017","great"
"August 30, 2017","great service all kinds of music. would be great if it had a voice recognition to search for music while you drive"
"November 1, 2016","Great music available!"
"March 20, 2017","good"
"April 7, 2016","It used to work great until the OS update. I hope they fix it soon. The update makes the app useless."
"July 23, 2017","Fun"
"June 11, 2016","Crashes my Android often and chews data like crazy. Very counter-intuitive to install on a second device (the amount of hunting I'm having to do to conduct a simple operation like install on a PC is insane)."
"September 20, 2013","I'm loving using my SamsungS3 phone with Amazon MP3 app + RunDouble's C25K app. It's great to be able to add new songs to my training play list without having to doc to my PC; keeps my training runs fresh.  Finally time to retire my iPod Shuffle and the original C25K podcasts."
"October 10, 2017","Love Amazon music"
"February 20, 2015","I have tried over & over again to get this app to open on my phone. I keep getting an Account Error ""Exception #45"". I have reported the problem & get no reply from Amazon customer service."
"May 3, 2017","AT A PRESENT TIME MY NUMBER ONE SUPPLIER."
"January 9, 2013","I love the Amazon Cloud service, and I store my entire music library on it. Unfortunately, my experience with it has been inconsistent and disappointing. I have an iPhone, and if I use the app on there for more than about 5 minutes, it locks up my phone, and it can take a full minute for it to respond. I also have a Samsung Galaxy Tab, and for some reason, Amazon decided to eliminate the ability to browse my library by genre. That might not seem like a big deal for some people, but it's huge for me. Really makes the app useless unless I know exactly what I want to listen to. I realize there are competition issues between Amazon and Apple, and Amazon and Google, but these inconsistencies and poor performance is a real let-down from Amazon."
"March 18, 2016","This app works great... Until it crashes. Usually it has to shut down a couple times a week. I like the music on Amazon Prime so I deal with it. But I like to let my phone stream through my car audio system. So when it crashes that means no more good Amazon Prime music. When it works I am very pleased though. When it doesn't, well I always keep a CD in the player as back up."
"November 6, 2016","Excellent product as advertized"
"July 18, 2017","Ok"
"December 18, 2015","Love the application, though I grant only 3, because by mistake I deleted the mp3 folder for the music included with prime, and the application didn't give me the opportunity to download them again, so no off-line library at the moment because of that, the stations is awesome because it's like have a lot of radio stations without commercial breaks and dumb comments every now and then.. just music 24/7"
"May 21, 2017","Decent"
"June 15, 2014","Get free music from a service that you already pay for. How can you not like it!! The selection is a little scarce, but it's new, so I'm sure the selection will increase in time. Seems that Amazon would put more effort in their prime video service (which is still very limited and lacks the selection of their competitors) instead of launching additional services. Just seems a little backwards to me, but I won't complain about something free!!"
"July 3, 2014","For all of us that have been using Amazon MP3 since the first Android devices came out, this is a major disappointment. First you snub us with instant video, then you take away tablet support for music and replace it with a beta quality. This after we have already spent significant money buying music from you. Sure i can switch to a new service, but i really had no plans too before this, and really did not want to spend the time. Its hard to understand what your issue is with Android, i am positive that you could develop whatever you want. I wish you would have never showed up on Android, that way I could have built a library on another service to begin with. Very dissapointed. Will have to use the pre-installed version until i can switch my wife and i to something else. Who would have guessed a pre-installed app would come in handy. Good luck with your new fire products. Looks like i will be buying stock in the first amazon alternative that comes along, cause this alienation of such a large customer base makes no business since whatsoever. You are trying to crush Google, but pushing people to them. You could have owned the entire android ecosystem pretty much with prime music and video and apps."
"June 17, 2015","I don't know what the core problem is, but I have a Samsung Galaxy S5 (AT&T) and I have another app that can track things like when apps restart multiple times, consuming resources like RAM memory, response time, and temperature, and for whatever reason, this and all the other Amazon apps have periods where they'll restart anywhere from 5 to 47 times in a 5 minute period. Amazon, you gotta fix this, it's not right to be slowing down a competitor's product."
"March 15, 2017","Liked it better before changes."
"March 3, 2017","I adore this app. It is great !"
"May 15, 2015","The app only works once per install on my 2nd Gen Moto X running lollipop. After a reboot the app consistently reports that my library is empty until I uninstall and reinstall. I'm not a novice user. I've checked my authorization limit. I've even reset my phone to factory defaults. Nothing fixes this app. The fact that this problem has existed for months now shows that Amazon is not committed to maintaining this app and therefore not maintaining their music service."
"August 31, 2017","Love this app! Tons of music. Easy to navigate around. 5 stars!"
"February 5, 2017","Great app for prime music"
"June 25, 2016","Amazon music is awesome! Since I am a prime member, I have free access to all kinds of great music. If you don't have amazon prime you should get it. The free shipping and music is definitely worth it!"
"August 29, 2014","Although, I must admit the number of albums seems quite astonishing, I'm not satisfied for a few reasons. First and foremost: their marketing and cheap gimmick tactics to increase member subscriptions. Signing up for a free trial membership is usually something I'm wary about, but I took the bait this time and low and behold, after one month of use, I was charged a YEAR subscription renewal fee! Most companies will just charge for the next month and that seems reasonable, but surely this is a ploy to increase revenues and artificially inflate membership while skirting customer satisfaction because at the end of the day they bank on folks like myself simply forgetting to cancel their 'free' trial membership. Numero dos: while the music I've listened to has been great, and I enjoy their offline access to albums, they do not have any of the simple user-friendly displays like some other music counterparts (Spotify, Pandora, Grooveshark, etc. etc.). If you're listening on a web browser, it's constantly being opened into new tabs and nothing is intuitive. Also, with no filter to search prime music (when clicking on other music that might interest you) could lead to folks accidentally purchasing products they thought were free. Number three: after resigning to the fact that I purchased this membership, I tried to watch some programs on my tablet and low and behold! Does not work with most Android products. Or Chromecast (to my knowledge). Now that I've purchased the year subscription, I'll certainly give this a shot. But fool me once Amazon, shame on you. You have one year to win me back."
"June 27, 2017","eewf"
"August 2, 2014","Unlike others, I don't want to download all my music onto my phone. That would be impossible! I own a LOT of music, and when this app was Amazon MP3, I was easily convinced that I should upload all of my digital music to Amazon, and then I could play it wfrom my phone where ever I was (as long as I had a good internet connection, of course). Got a new phone, and I downloaded the new Amazon Music app. What it shows as 'Cloud' music is only about 1% of the music I store on Amazon's cloud servers. I can't really review any other feature of the app, because my music is not accessible. I called Amazon, and was told they were working on it. A couple of days later there was an update, which did not fix this problem. Amazon can add all the features it wants, but if I cannot play the music I already own, the app is useless to me."
"March 25, 2017","A++"
"January 5, 2017","Some songs to download you have to buy , so again whats the point of been a prime member ? Amazon is trying to squeeze every cents out of us.🤔💱"
"August 5, 2017","Love it"
"April 28, 2016","If you have prime, use this! My musical tastes are vast. If you sometimes vary far off the beaten path your needs will be met and expanded.  So very satisfied... nothing is quite as good as being introduced to music you may like and having them hit the nail on the head.  Just make sure you are on wifi when you hit a pocket of awesome tunes."
"April 29, 2017","One of the best music channels out there!!! Thank you Amazon!!"
"May 15, 2017","fantastic"
"April 23, 2015","I love Amazon Prime and now they have added Prime Music, I like it for the most part - there are a lot of popular songs and some new songs that I get to listen for Free. I took one star away because, like I said before - - it's only POPULAR music. I live in Hawaii and I love it when streaming sites let me listen to my own local music. Granted they have like old Hawaiian Slack Key music, but I'm more interested in local Jawaiian music that plays locally over the radio."
"January 29, 2016","I don't understand the negative comments. There is a ton of free music for Prime members. Easy to access and easy to play. And I am a grandma :)"
"October 19, 2015","I wish I could download purchased music directly to my phone. Instead I have to go through this disgusting app Amazon is stuffing down my throat."
"December 5, 2015","A great app to use on my android phone and tablet! I love that I can upload my personal library to it and listen to it when I'm on other devices then my computer."
"November 6, 2017","The music / mantras that I like to listen to are on Amazon Unlimited of which I have to pay for. It's o $2 less than Google Music which isn't much of a difference so decided to keep Google Music. Mainly, I don't want to have to go through and reset playlists also."
"December 31, 2015","I love this app. I am still learning and navigating my way through but it is the only music app I use now! It has a lot to offer!"
"May 29, 2017","It's awesome to be able to take my music anywhere!!"
"March 15, 2017","Wonderful selections, great sound....fantastic Prime benefit."
"September 25, 2016","Solid app for music streaming and downloading. The best part is that there are constant updated virtual stations and playlist that are spot on. One of my most used apps."
"January 31, 2016","It asked me when I first tried to download where I want music stored. I chose sd card and that's where they're being stored. Anyone having difficulties may be using an earlier version. May want to uninstall and reinstall to see if that will help."
"September 5, 2015","Huge 3dg and staind fan! From the second I listened to it I could hear bits and pieces of them but this is not those bands! This is much harder than 3dg and more composed then staind. I haven't bought an album in 5 years...this was worthy enough to buy and it's been on repeat since I got it! Incredible band and I'm stoked on their music! If you like hard rock with small amounts of metal and insanely good lyrics...buy this album!"
"August 9, 2015","I just love Amazon Music w/ Prime Music. Can't wait to see what the future holds."
"April 29, 2017","Great its part of Prime"
"April 30, 2015","I loved this at first. I was excites thinking FINALLY something better than Pandora! But day one songs stopped half way through to load like there was a connection issue each time I left home. I was using 4G so I don't get that. since then, it's happening more and more frequently. Whether I'm home or not, on Wi-Fi or 4G. Still keeps stopping mid-song to either load or the app just crashes altogether. It has potential but I'm disappointed I had to go back to Pandora."
"June 18, 2016","Its a decent bonus, but its no replacement for anybof my other music apps. The 1st 3 songs I tried to find werent in the collection, and the app doesn't play well withy android platform. I deleted it."
"June 18, 2014","This was a forced update that if you uninstall it, it removes your amazon app completely. I lost all of my playlists, and there are a lot more steps to get to the song or album you want. Too many drop down menus, and too may ads. And I don't know if this has anything to do with it but my 'desktop' screen has changed and now I have multiple pages to move thru to find what I want. Hopefully I can take it to verizon and they can reset it."
"October 23, 2017","Great!"
"April 30, 2017","This is my favorite music app and I have it on my Fire TV, Fire Tablet and Android Phone. Recent updates to this app on my Android Phone had me wondering why some of my music was missing, particularly music that I purchased and songs selected for my various playlists. The Amazon Music App updates did not negatively affect my playlists on my Fire TV or Fire Tablet. I discovered that it was Google Play and not Amazon that changed my playlists and eliminated some of my favorite songs. I had to go into Google Play and uninstall and disable the Amazon Music app, so it could only be downloaded from the Amazon web site. There were many negative reviews of this app on the Google Play site and now I realize it is because of the changes that Google Play makes to the app on installation and updates. The Amazon Music app will not properly function when downloaded by Google Play. When I installed this app again from the Amazon web site, it was perfect in form and function. No stalling and stopping and no missing songs."
"December 31, 2016","Let's face it Amazon can't do everything just yet but we'll on their way. I listen to non mainstream music and they just don't have it quite yet"
"October 14, 2016","Doesn't work on a note 7"
"March 30, 2015","I should have know Amazon Prime (Music/Kindle/Video) was too good to be true! Like Netflix, RedBox and any of the others like it, there are always loopholes/limitations. Every movie, song, book I've tried to download, it wasn't included in the Prime package. I can just as easily wait for the book to come out at my local library and read it for free. The same applies to music/videos. Looks like the only thing that I'm going to benefit from by purchasing Prime is the free shipping for my Christmas shopping."
"July 21, 2017","Love it!!"
"August 12, 2014","We have tried using this on several different devices thinking that maybe that the app was just not working with the device (yes, we know only 1 device at time). However, the shuffle doesn't really 'shuffle', the music will just stop without notice, and the Prime music to the computer and the Prime music to the device do not sync.  Since this is still a new feature, we will be holding out to see how it adapts."
"March 6, 2017","I am enjoying my music"
"May 5, 2017","Good"
"October 5, 2016","This even beats itunes! You can get an artist or song with their search!"
"October 26, 2016","When I started looking at what was available it was like a time machine. There was my musical youth. I've found most of the albums I wore out in the 60's and 70's. All available to download into my tab and they're free with Amazon Prime. Move over iTunes there's a new and better alternative. Can't beat Free."
"January 15, 2016","I rate Amazon Music app higher than its two top-rated competitors' apps -- Google Play Music and Audials. Brilliantly designed user interface that is easy to use and navigate. Immense library of music. Also, Amazon Music app works great on Fire tablets and real Android devices, such as Samsung mobile devices. Amazon nailed it dead-on with its music app. Woot, Woot, Woot for Amazon!"
"January 1, 2017","Very cool, but there's no way to delete duplicate songs without having to delete all of the copies of the song instead of just the extra ones."
"July 2, 2014","Works quite well but I must periodically log back into Amazon when the music stops and asks me to do so. Why's that? 04.11.17 Won't open now. Why's that? Amazon Customer Service took care of the problem. Wonderful!"
"October 28, 2017","Too expensive"
"January 6, 2017","Since the last update I can't get the app to work on my PC at all. The app slows to a death march speed. I have removed it from my system."
"September 24, 2016","It is doesn't have every song of every musician out there which kind of sucks. However, I do like the prime station and I like that I can add a song to make my own playlist. The other down side to this though is that when you listen to a prime station you can't go back to see what the previous songs and artist are."
"February 28, 2017","Love it"
"April 13, 2016","If I could give this app negative stars, I would.  I have been a longtime Amazon customer (since the '90's). When the Amazon MP3 app came out, it was great. There were free daily MP3's, and I bought quite a bit of music from my phone. Then in updates it would become sluggish, but then you'd get a new (Android) phone and it would be okay. But then there was the change to Amazon Music, and the authentication scheme Amazon came up with for this would then break my login in other Amazon apps (Shopping and Kindle). It became unusable on my last phone. When I got my current phone I tried it again, and it worked for maybe a month, before it suddenly decided that my phone had been registered to someone else and I could not access my cloud library or Prime Music.  Amazon Customer Support for this is pretty much non-existent--they will only talk to you on the phone, and then they'll tell you to wipe your phone and start over reinstalling EVERYTHING, which is ridiculous.  I recently tried the app again, and it was miraculously working for no obvious reason (though the Kindle app would then keep asking me to re-login), but with this most recent update it is now once again broken for me--it gives me a network error, so I tried reverting to my backup of the previous version, and guess what, it now says that my phone was registered to someone else and I can't access my cloud library or Prime Music.  So, I give up Amazon. I've bought a ton of crap from you, and I would probably buy a lot more music from you if I could buy it on my phone and be an even happier Prime customer if I could listen to Prime Music on my phone, but this app is a total disaster and the biggest black mark on my otherwise sterling opinion of your company. The shopping and Kindle apps work great, Music works great on my iPad (and Kindle Fire and Fire TV), so I don't know what your problem is."
"September 10, 2014","It's a great app and with Prime Music it became even better. I really wish if I could get access to Prime Music even when I'm not in the US, that's definitely would make it the best music streaming app ever.  I contacted Amazon Customers Service and asked them about playing music through Prime Music outside the US.They told me that I must have a credit card issued in the USA in my Amazon account to be able to listen to Prime Music even when not in the US.  I have deleted the US credit card and that what caused the problem."
"November 27, 2016","I dislike the updated user interface. wish it was more seamlessly integrated into my Toyota in dash audio system. otherwise very very happy user."
"May 11, 2017","It works"
"January 21, 2016","Have used it ""on the go"". Works great, choice is vast, service is clear and... well, I use it a lot."
"May 25, 2017","Great app, lots of good tunes. So much available for free to prime members!"
"September 30, 2017","good music"
"May 17, 2017","so far so good!"
"July 1, 2014","I have tried downloading it my 3 units Desk top is OK but does not let me access all my playlists  My Android only seem to have some of the Albums but mostly singles from the albums listed  My note pad I installed it, then I had a problem so I deleted it now it tells me I already have it loaded but I cannot find the icon to reinstall it  All you seem to want is for me to purchase more music though prime, when I can't play the music I already have loaded"
"June 14, 2017","Greatest thing ever"
"August 24, 2017","It's an alright music streaming service. My only issue is that its crazy how for Amazon to have all these options such as kindle, echo, music, prime, etc. they can't seem to keep up with the updated payment information for one Amazon account. It makes no sense to me AT ALL."
"June 22, 2016","It's improved now that my phone can control all music and can manage the equalizer without an in app setting but there are still intermittent pauses or breaks in music every so often. But overall I like this app a lot."
"July 21, 2015","1) When you but a digital album you should be able to download in 1 or 2 clicks. Amazon forces you to load the app, wait for the library to update (which takes some time), find it in the library, then download it. If the internet were ubiquitous, I would not need to download. But since it isn't I download first. Please don't make this so hard.  2) Each time I buy something, I am prompted to download the app (with a pop us that really pushes you to download the app). I already have the app, so quit confusing me."
"September 6, 2017","Selection is good for the type of music i prefer Easy to search and download"
"November 23, 2015","Ugh, constant issues with the app not working. I receive an error code on many songs. Reinstall the app, have to reset up all playlists, redownload mp3s, clear cache, etc. and still it tanks. Now I can't even get it to download my purchase album- uuuuggggghhhhhh!!!!!! I wish it would work as intended, as Prime Music is a great perk assuming we can actually use it as intended."
"March 14, 2017","great work"
"June 14, 2016","good"
"June 15, 2017","Pretty awesome access to tons of music included with my Prime membership."
"April 19, 2015","Very obtuse, difficult to navigate and select genre which are very limited. I had an even harder time with it on my phone. It also says you can ""download"" music if you are a Prime member but I haven't figured out how to do it without paying for the songs. If it is possible that is fine but it apparently isn't user friendly."
"January 8, 2017","Incredibly good service"
"August 23, 2016","I use this all the time. I have the app on my phone so I can take it with me every where I go. I have found sooo much music from ""back in the day"" that I thought I'd never hear again. It's much better than listening to the radio...no commercials! It made all my other music apps obsolete...just plain love it!"
"October 17, 2016","I used to use Amazon music with my Prime account. Now Amazon won't install on my phone, so I can't. Until it gets fixed I can't give it more than one star."
"August 21, 2016","I love being able to stream music free on my phone with the app. This is a great perk for amazon prime members!  We stream at home and hook my phone to a cord that runs through the stereo and surround speakers so I can listen while cooking. I also do this in the car.  I love all the chanel's offered."
"July 29, 2014","When I use with Bluetooth in car the displayed data is missing artist. I can see track and album but artist data missing. This only happens with Amazon music. Google, songza, milk, Pandora, Spotify all display complete data"
"February 16, 2016","The 500 song limit is cheesy, the radom function is not! Program runs extremely slow when adding songs to playlist"
